saledate,MA,type,bedrooms
30-Sep-07,441854,house,2
31-Dec-07,441854,house,2
31-Mar-08,441854,house,2
30-Jun-08,441854,house,2
30-Sep-08,451583,house,2
31-Dec-08,440256,house,2
31-Mar-09,442566,house,2
30-Jun-09,446113,house,2
30-Sep-09,440123,house,2
31-Dec-09,442131,house,2
31-Mar-10,459222,house,2
30-Jun-10,456822,house,2
30-Sep-10,457806,house,2
31-Dec-10,459109,house,2
31-Mar-11,460758,house,2
30-Jun-11,464788,house,2
30-Sep-11,467546,house,2
31-Dec-11,470333,house,2
31-Mar-12,470365,house,2
30-Jun-12,469149,house,2
30-Sep-12,465919,house,2
31-Dec-12,463090,house,2
31-Mar-13,451077,house,2
30-Jun-13,451516,house,2
30-Sep-13,454270,house,2
31-Dec-13,456548,house,2
31-Mar-14,469920,house,2
30-Jun-14,472726,house,2
30-Sep-14,475326,house,2
31-Dec-14,478413,house,2
31-Mar-15,478398,house,2
30-Jun-15,477238,house,2
30-Sep-15,477330,house,2
31-Dec-15,479010,house,2
31-Mar-16,482440,house,2
30-Jun-16,486436,house,2
30-Sep-16,489104,house,2
31-Dec-16,491152,house,2
31-Mar-17,494544,house,2
30-Jun-17,498846,house,2
30-Sep-17,504592,house,2
31-Dec-17,506578,house,2
31-Mar-18,507248,house,2
30-Jun-18,506116,house,2
30-Sep-18,504318,house,2
31-Dec-18,506001,house,2
31-Mar-19,496133,house,2
30-Jun-19,500158,house,2
30-Sep-19,510712,house,2
31-Mar-07,421291,house,3
30-Jun-07,421291,house,3
30-Sep-07,421291,house,3
31-Dec-07,421291,house,3
31-Mar-08,416031,house,3
30-Jun-08,419628,house,3
30-Sep-08,423811,house,3
31-Dec-08,426488,house,3
31-Mar-09,437724,house,3
30-Jun-09,444351,house,3
30-Sep-09,449742,house,3
31-Dec-09,457394,house,3
31-Mar-10,466433,house,3
30-Jun-10,474590,house,3
30-Sep-10,483176,house,3
31-Dec-10,491715,house,3
31-Mar-11,498022,house,3
30-Jun-11,503891,house,3
30-Sep-11,507090,house,3
31-Dec-11,507744,house,3
31-Mar-12,507449,house,3
30-Jun-12,507014,house,3
30-Sep-12,506615,house,3
31-Dec-12,506615,house,3
31-Mar-13,506380,house,3
30-Jun-13,505739,house,3
30-Sep-13,505823,house,3
31-Dec-13,506406,house,3
31-Mar-14,508499,house,3
30-Jun-14,512374,house,3
30-Sep-14,516618,house,3
31-Dec-14,522103,house,3
31-Mar-15,528926,house,3
30-Jun-15,534927,house,3
30-Sep-15,542051,house,3
31-Dec-15,549278,house,3
31-Mar-16,556586,house,3
30-Jun-16,564267,house,3
30-Sep-16,572582,house,3
31-Dec-16,581485,house,3
31-Mar-17,590949,house,3
30-Jun-17,601041,house,3
